"KID","BOX_NUMBER","STARTING_DEPTH","ENDING_DEPTH"
"1001198432","55353","3000","3306"
"1001198433","55353","2700","3295"
"1001198434","55354","2700","3309"
"1001198435","25347","3245","3288"
"1006028516","C3378","2900","3395"
"1001198427","55320","2700","3341"
"1001198409","03343","340","2230"
"1001198409","03344","2230","3296"
"1001198410","26562","3271","3289"
"1001198416","48163","2000","3281"
"1001198417","48125","2000","3277"
"1001198408","61609","2900","3301"
"1001198424","04213","2600","3277"
"1001198440","54872","2600","2840"
"1006022125","26625","2750","3290"
"1006028278","F3073","2800","3360"
"1001198442","10819","2900","3165"
"1001198451","03478","2500","3318"
"1001198445","16742","2800","3320"
"1001198470","25744","3200","3296"
"1001198454","48241","2550","3250"
"1001198459","54924","2950","3277"
"1001198458","B0286","2900","3283"
"1001198462","27533","2950","3295"
"1001198471","19683","3000","3290"
"1001198460","29433","3250","3298"
"1001198448","02500","2900","3304"
"1001198450","37642","2945","3310"
"1001198479","B9031","2950","3300"
"1006021244","33690","2700","3110"
"1002886583","07822","2700","3386"
"1001198511","08685","2650","3300"
"1001198518","F2268","340","1300"
"1001198518","A8826","2800","3340"
"1006027842","B9105","1300","3289"
"1006019243","10426","2600","3325"
"1001198502","30537","2800","3150"
"1001198506","01646","290","1110"
"1001198507","04049","2950","3254"
"1001198510","05220","2800","3267"
"1001198524","03872","2900","3284"
"1001198520","64917","3010","3294"
"1001198531","C5985","2000","3337"
"1001198530","48186","2000","3336"
"1001198543","55230","2600","3225"
"1001198545","55259","2879","3295"
"1001198547","55290","2600","3225"
"1001198548","55304","2710","3294"
"1006024180","J9571","2300","3271"
"1002886806","12977","2800","3282"
"1001198537","05082","3015","3272"
"1001198528","F2047","2900","3286"
"1002887085","36751","1500","3175"
"1001198533","35627","600","3297"
"1001198550","35621","500","3283"
"1001196402","04505","2600","3000"
"1006018674","11835","2600","3364"
"1002886795","46386","2810","3339"
"1006029607","62689","2600","3400"
"1001196424","27152","2600","3000"
"1006801265","F1101","2900","3349"
"1002886560","04207","2600","3334"
"1001196550","06962","2950","3340"
"1001196459","00633","2800","3397"
"1001196548","39848","2700","3340"
"1001196530","26591","2600","3291"
"1038219763","66065","2800","3370"
"1001196547","51064","2700","3340"
"1001196546","62584","2600","3330"
"1001196467","07676","2600","3385"
"1001196535","08281","2600","3370"
"1040660250","06962","2500","3000"
"1001196538","04218","2600","3392"
"1006029603","62855","3350","3465"
"1001196544","C1963","2600","3303"
"1001196528","G1310","2600","3310"
"1001196573","32118","0","1165"
"1001196573","32117","1165","2365"
"1001196573","32116","2365","3328"
"1001196572","04811","3200","3345"
"1001196557","06963","2800","3323"
"1001196582","06964","2650","3350"
"1006024280","J9370","1680","2800"
"1006024280","J9371","2800","3358"
"1006026054","A6266","1600","3400"
"1001196581","06964","2650","3313"
"1001196583","07982","2790","3315"
"1001196554","41002","260","1070"
"1001196576","04929","2790","3150"
"1001196576","04930","3150","3335"
"1001196581","03032","2850","3398"
"1001196577","40563","2610","3324"
"1006513064","04844","1500","1930"
"1006513064","10275","1930","3390"
"1001196594","06966","2900","3351"
"1001196595","08743","2800","3339"
"1001196598","26725","3300","3379"
"1001196597","C2045","2650","3370"
"1001196587","02072","2700","3065"
"1001196596","22094","2700","3381"
"1001196592","39027","2700","2900"
"1001196600","28219","3300","3345"
"1002886722","38423","3200","3385"
"1001196586","40187","2675","3361"
"1001196603","06965","2800","3347"
"1001196605","33744","760","3378"
"1001196607","32510","2600","3030"
"1001196732","04351","3000","3405"
"1006028272","06988","2500","3000"
"1001196715","06989","2700","3405"
"1001196719","04026","3050","3363"
"1001196717","04029","3000","3375"
"1001196721","05259","3180","3330"
"1001196724","04046","2946","3260"
"1001196723","04418","3300","3387"
"1001196722","05172","3000","3373"
"1001196727","05258","2500","3275"
"1006027878","B9045","1700","3460"
"1001196761","07972","3245","3380"
"1001196740","A0071","2895","3000"
"1001196752","05455","2660","3381"
"1001196760","59725","3350","3367"
"1001196739","24569","3300","3357"
"1001196737","24667","3300","3381"
"1001196769","27152","2600","3372"
"1001196765","29779","370","1955"
"1001196777","27610","2600","3336"
"1001196780","06993","2650","3200"
"1006020732","65746","2800","3382"
"1001196763","36068","2400","3398"
"1001196785","04723","2600","3384"
