KID,API,LEASE_NAME,WELL_NAME,ORIG_OPERATOR,CURR_OPERATOR,FIELD_NAME,TOWNSHIP,TOWNSHIP_DIR,RANGE,RANGE_DIR,SECTION,SPOT,SUBDIVISION_4_SMALLEST,SUBDIVISION_3,SUBDIVISION_2,SUBDIVISION_1_LARGEST,FEET_NORTH,FEET_EAST,REFERENCE_CORNER,NAD27_LONGITUDE,NAD27_LATITUDE,COUNTY,PERMIT_DATE,SPUD_DATE,COMPLETION_DATE,PLUG_DATE,WELL_TYPE,STATUS,TOTAL_DEPTH,ELEVATION,ELEVATION_REFERENCE,PRODUCING_FORMATION
"1001320270","15-185-12067","Kelly, Nellie","1","Transwestern Oil Co.","","Zenith-Peace Creek","24","S","11","W","8"," "," ","NE","NE","SE","2310","-1650","SE","-98.5509762","37.9756149","Stafford","","06/15/1944","08/21/1944","08/22/1944","D&A","Plugged and Abandoned","3842","1825","DF"," "
"1001320272","15-185-12579","Figger","2","Plains Exploration Co.","","Zenith-Peace Creek","24","S","11","W","8","C"," ","E2","SW","NE","3300","-1650","SE","-98.5510189","37.9783346","Stafford","","07/29/1944","08/24/1944","09/26/1947","OIL-P&A","Plugged and Abandoned","3794","1825","DF"," "
"1001320371","15-185-72608","McComb, E. H.","4","Stanolind Oil and Gas Co.","","Zenith-Peace Creek","24","S","11","W","12","C"," ","N2","NW","SW","2310","-4620","SE","-98.4879664","37.9758393","Stafford","","09/22/1939","10/13/1939","04/01/1952","OIL-P&A","Plugged and Abandoned","3785","1804","DF"," "
"1001320286","15-185-10159","Figger","3","Champlin Refining Co.","","Zenith-Peace Creek","24","S","11","W","9"," "," "," ","S2","NE","3300","-1320","SE","-98.5315189","37.9783457","Stafford","","08/08/1941","08/27/1941","05/09/1948","OIL-P&A","Plugged and Abandoned","3826","1819","DF"," "
"1001320410","15-185-72633","Hartnett","1","Time Petroleum Co.","","Zenith-Peace Creek","24","S","11","W","13","C"," ","N2","N2","NW","4950","-3960","SE","-98.4856815","37.9685057","Stafford","","03/14/1959","04/01/1959","12/01/1959","D&A","Plugged and Abandoned","3980","1805","KB"," "
"1001320415","15-185-72660","Johnson, N. W.","1","E. H. Moore, Inc.","","Zenith-Peace Creek","24","S","11","W","13","C"," ","SW","NW","NE","4290","-2310","SE","-98.479941","37.9668076","Stafford","","01/07/1939","01/27/1939","11/01/1948","OIL-P&A","Plugged and Abandoned","3803","1805","DF"," "
"1001320416","15-185-10285","Johnson, J. K.","5","E. H. Moore, Inc.","","Zenith-Peace Creek","24","S","11","W","13","C"," ","NW","SE","NE","3630","-990","SE","-98.4753452","37.9650865","Stafford","","01/13/1939","02/02/1939","04/28/1972","OIL-P&A","Plugged and Abandoned","3788","1793","DF"," "
"1001320438","15-185-10295","Hartnett, O. J.","4","Stanolind Oil and Gas Co.","","Zenith-Peace Creek","24","S","11","W","13","C"," ","SE","SE","NW","2970","-2970","SE","-98.4821961","37.9631362","Stafford","","12/24/1938","01/16/1939","12/03/1949","OIL-P&A","Plugged and Abandoned","3789","1796","DF"," "
"1001276126","15-155-02167","HINSHAW 'A'","5","CITIES SERVICE OIL CO.","","Zenith-Peace Creek","23","S","10","W","2"," "," "," ","NW","SW","1980","-4620","SE","-98.397013","38.0769319","Reno","","05/21/1942","06/10/1942","10/01/1947","OIL-P&A","Plugged and Abandoned","3760","1760","DF"," "
"1001320469","15-185-72702","Krey, John","2","Sinclair Prairie Oil Co.","","Zenith-Peace Creek","24","S","11","W","14","C"," ","NW","NW","NE","4950","-2310","SE","-98.4982252","37.9685049","Stafford","","05/10/1938","05/26/1938","11/01/1956","OIL-P&A","Plugged and Abandoned","3826","1812","DF"," "
"1001320475","15-185-72674","Ansdell Burris","1","Natl. Coop. Refinery Assoc.","","Zenith-Peace Creek","24","S","11","W","14"," ","S2","S2","S2","SE","165","-1320","SE","-98.4946807","37.9553216","Stafford","","10/30/1963","03/05/1964","03/31/1964","D&A","Plugged and Abandoned","3838","1821","KB"," "
"1001320479","15-185-01584","Krey, John","4","Pure Oil Co.","","Zenith-Peace Creek","24","S","11","W","14"," "," ","SW","SW","SE","330","-2310","SE","-98.4981194","37.9558119","Stafford","","04/09/1938","06/15/1938","08/09/1952","OIL-P&A","Plugged and Abandoned","3826","1815","DF"," "
"1001320364","15-185-72611","Stewart, R. F.","4","E. H. Moore, Inc.","","Zenith-Peace Creek","24","S","11","W","12","C"," ","S2","SW","SE","330","-1980","SE","-98.4788221","37.9705071","Stafford","","08/08/1939","09/28/1939","04/01/1972","OIL-P&A","Plugged and Abandoned","3793","1797","DF"," "
"1001320369","15-185-10237","Tretbar Bros.","3","Magnolia Petroleum Co.","","Zenith-Peace Creek","24","S","11","W","12","C"," ","S2","NE","SE","1650","-660","SE","-98.4742302","37.9741871","Stafford","","01/12/1941","02/04/1941","","OIL","Recompleted","3730","1793","DF"," "
"1001320374","15-185-10247","Tretbar, J.J.","7","Phillips Petroleum Co.","","Zenith-Peace Creek","24","S","11","W","12"," "," ","E2","NW","NE","4620","-1650","SE","-98.4776402","37.9823061","Stafford","","04/08/1942","06/03/1942","06/01/1951","OIL-P&A","Converted to EOR Well","3735","1802","DF"," "
"1001320375","15-185-72602","McComb, E. H.","1","Stanolind Oil and Gas Co.","","Zenith-Peace Creek","24","S","11","W","12","C"," ","N2","SW","SW","990","-4620","SE","-98.4879776","37.9722129","Stafford","","05/10/1939","05/30/1939","09/01/1950","OIL-P&A","Plugged and Abandoned","3803","1808","KB"," "
"1001320394","15-185-31790","Johnson, Cleo","10","E. H. Moore, Inc.","","Zenith-Peace Creek","24","S","11","W","13","C"," ","SW","NE","SE","1650","-990","SE","-98.4752938","37.9596482","Stafford","","01/01/1939","01/23/1939","","OIL"," ","3814","1796","DF"," "
"1001320538","15-185-12240","Richardson","3","Sohio Petroleum Co.","","Zenith-Peace Creek","24","S","11","W","22","C"," ","NW","NW","SW","2310","-4950","SE","-98.5256011","37.9465654","Stafford","","01/05/1952","01/22/1952","01/22/1952","D&A","Plugged and Abandoned","3885","1823","KB"," "
"1001320540","15-185-11275","McComb, B.","5","Dasa Oil Co.","","Zenith-Peace Creek","24","S","11","W","22","C"," ","E2","SW","NE","3300","-1650","SE","-98.5141717","37.9493233","Stafford","","07/31/1943","08/31/1943","03/15/1956","OIL-P&A","Plugged and Abandoned","3830","1815","DF"," "
"1001320550","15-185-19223","Volker, M.","4-A","Stanolind Oil and Gas Co.","","Zenith-Peace Creek","24","S","11","W","23"," "," ","NE","SE","NE","3630","-330","SE","-98.4912325","37.9504205","Stafford","","06/20/1938","07/17/1938","08/01/1949","OIL","Recompleted","3810","1805","DF"," "
"1001320556","15-185-10369","Ferris, U. G.","6-B","Stanolind Oil and Gas Co.","","Zenith-Peace Creek","24","S","11","W","23","C"," ","W2","NE","NW","4620","-3630","SE","-98.5026845","37.9530258","Stafford","","12/04/1938","12/27/1938","12/21/1950","OIL-P&A","Plugged and Abandoned","3814","1814","DF"," "
"1001320562","15-185-10374","Hartnett, M.","4","Stanolind Oil and Gas Co.","","Zenith-Peace Creek","24","S","11","W","23","C"," "," ","W2","SE","1320","-1980","SE","-98.4969424","37.9440176","Stafford","","11/13/1938","12/04/1938","03/09/1953","OIL-P&A","Plugged and Abandoned","3813","1798","DF"," "
"1001320565","15-185-10383","Volker, W. C.","6","Stanolind Oil and Gas Co.","","Zenith-Peace Creek","24","S","11","W","23"," "," ","NE","NW","NE","4950","-1650","SE","-98.4958186","37.9540009","Stafford","","08/16/1938","09/10/1938","10/23/1949","OIL-P&A","Plugged and Abandoned","3835","1824","DF"," "
"1001320569","15-185-10379","Volker, W. C.","2","Stanolind Oil and Gas Co.","","Zenith-Peace Creek","24","S","11","W","23"," "," ","NW","NW","NE","4950","-2310","SE","-98.4981078","37.9539781","Stafford","","04/22/1938","05/18/1938","11/27/1949","OIL-P&A","Plugged and Abandoned","3830","1816","DF"," "
"1031373915","15-155-20344-0001","BOWEN","3","Hesse Petroleum Co.","Hall Oil & Gas, LLC","Zenith-Peace Creek","23","S","10","W","29"," "," ","SW","NW","NW","4301","-4979","SE","-98.4528639","38.0250257","Reno","10/29/1996","10/28/1996","11/27/1996","","SWD","Authorized Injection Well","4375","1803","KB"," "
"1001320508","15-185-10355","Ferris, U. G.","2-A","Stanolind Oil and Gas Co.","","Zenith-Peace Creek","24","S","11","W","15"," "," ","E2","NE","SE","1980","-330","SE","-98.5096463","37.9604534","Stafford","","07/12/1940","08/09/1940","09/28/1950","OIL-P&A","Plugged and Abandoned","3829","1814","DF"," "
"1001320507","15-185-10356","Ferris, U. G.","3-A","Stanolind Oil and Gas Co.","","Zenith-Peace Creek","24","S","11","W","15"," "," ","W2","NE","SE","1980","-990","SE","-98.5119361","37.9604477","Stafford","","12/20/1940","01/16/1941","12/19/1949","OIL-P&A","Plugged and Abandoned","3830","1816","DF"," "
"1001320496","15-185-12609","Kirkpatrick, M. E.","3","Stanolind Oil and Gas Co.","","Zenith-Peace Creek","24","S","11","W","15","C"," ","W2","NE","NW","4620","-3630","SE","-98.5211183","37.9676771","Stafford","","05/12/1941","05/29/1941","08/27/1949","OIL-P&A","Plugged and Abandoned","3827","1815","DF"," "
"1001320500","15-185-10349","Equitable Life","1","W-K Royalty Co.","","Zenith-Peace Creek","24","S","11","W","15","C"," ","E2","SE","NE","3300","-330","SE","-98.5096579","37.9640796","Stafford","","04/03/1940","04/27/1940","05/12/1949","OIL-P&A","Plugged and Abandoned","3832","1816","DF"," "
"1001320503","15-185-12606","Ferris, U. G.","6-A","Stanolind Oil and Gas Co.","","Zenith-Peace Creek","24","S","11","W","15"," "," ","W2","SE","SE","660","-990","SE","-98.5119244","37.9568215","Stafford","","06/14/1941","07/10/1941","04/23/1951","OIL-P&A","Plugged and Abandoned","3832","1818","DF"," "
"1001276202","15-155-02213","HEYLMUN","1","CITIES SERVICE OIL CO","","Zenith-Peace Creek","23","S","10","W","15"," "," ","NE","NE","NE","4950","-330","SE","-98.4005848","38.0560351","Reno","","12/16/1941","01/14/1942","04/01/1961","OIL-P&A","Plugged and Abandoned","3776","1770","DF"," "
"1001320263","15-185-12569","Ranson","1","Cities Service Oil Co.","","Zenith-Peace Creek","24","S","11","W","7","C"," ","NE","NE","SE","2310","-330","SE","-98.5646478","37.9756108","Stafford","","06/09/1944","06/27/1944","11/26/1945","OIL-P&A","Plugged and Abandoned","3807","1834","DF"," "
"1001275594","15-155-01971","BALLARD","1","CITIES SERVICE CO","","Zenith-Peace Creek","22","S","9","W","31"," "," ","SW","NE","NE","4290","-990","SE","-98.3475639","38.097939","Reno","","01/23/1951","02/12/1951","03/04/1951","D&A","Plugged and Abandoned","3728","1724","KB"," "
"1045364866","15-185-32002-0001","MCCOMB","4","DERBY OIL CO.","","Zenith-Peace Creek","24","S","11","W","24"," "," "," "," ","NW","","","","-98.4855118","37.9513026","Stafford","","08/11/1938","08/26/1938","12/19/1941","OIL-P&A","Plugged and Abandoned","3820","",""," "
"1045368919","15-185-19223-0001","Volker, M.","4-A","Stanolind Oil and Gas Co.","","Zenith-Peace Creek","24","S","11","W","23"," "," ","NE","SE","NE","3630","-330","SE","-98.4912325","37.9504205","Stafford","","09/26/1940","10/01/1940","08/12/1949","OIL-P&A","Plugged and Abandoned","3810","1805","DF"," "
