"KID","BOX_NUMBER","STARTING_DEPTH","ENDING_DEPTH"
"1001320368","05014","3734","3775"
"1001320363","A8596","3200","3300"
"1001320378","04316","3200","3745"
"1001320388","40968","600","3100"
"1001320359","04991","2900","3742"
"1001320377","C5253","3600","3752"
"1027963892","59261","2700","3200"
"1006152973","C7709","3100","4400"
"1006152264","38162","3150","3856"
"1006152654","C8003","3800","3840"
"1001320421","35904","480","3150"
"1001320422","35907","470","3755"
"1001320419","32965","460","3300"
"1001320442","25025","450","3765"
"1001320440","43146","3770","3805"
"1001320409","38100","490","3330"
"1001320427","30754","3500","3799"
"1001320434","31586","3500","3770"
"1001320402","B7722","3500","3816"
"1001320401","30767","3500","3808"
"1001320413","C1357","3500","3775"
"1001320423","05019","3500","3773"
"1001320417","01072","3500","3794"
"1001320435","36060","1860","3600"
"1001320480","26290","3700","3794"
"1001320468","05624","1690","3120"
"1001320469","10311","3195","3826"
"1001320471","05024","3350","3795"
"1001320458","01235","3700","3831"
"1006813410","10325","2500","3801"
"1001320486","38064","500","3500"
"1001320448","37975","450","3837"
"1001320455","37781","450","3837"
"1001320445","35803","280","2100"
"1001320445","35804","2100","3820"
"1002950294","35906","3100","3795"
"1001320444","36092","470","3785"
"1001320464","37782","500","3832"
"1001320451","35902","470","3794"
"1001320452","36093","470","3783"
"1001320452","A6878","3781","3831"
"1006813423","38344","3100","3804"
"1001320473","35915","480","3804"
"1001320466","35809","450","4025"
"1006154196","53620","2800","3880"
"1001320505","30295","3600","3821"
"1001320498","00623","3600","3827"
"1001320509","25238","1700","3600"
"1001320510","35922","3500","3816"
"1001320508","34700","470","3795"
"1001320507","04964","3460","3830"
"1001320517","34904","500","3827"
"1001320496","00117","300","3827"
"1001320497","34847","500","2800"
"1006154192","53692","3100","3600"
"1006154236","53511","2800","3892"
"1006148528","C8003","3090","3871"
"1006149474","A3387","3200","3845"
"1001320529","07891","3100","3832"
"1005740357","07253","3880","3920"
"1001320537","05323","3600","3819"
"1001320539","42145","400","3838"
"1001320538","09126","2950","3884"
"1006152772","C4839","3100","3840"
"1001320561","71578","3300","3785"
"1001320559","00978","3300","3792"
"1001320555","35902","450","3100"
"1001320556","38397","470","3450"
"1001320556","38398","3450","3801"
"1001320558","34695","480","3817"
"1002949789","B1132","1750","1900"
"1002949789","H0184","1900","3495"
"1002949789","H0183","3495","3808"
"1001320548","A8613","3300","3807"
"1001320546","38356","450","3805"
"1001320569","C1358","1780","3805"
"1001320568","01046","3000","3815"
"1001320567","35915","3600","3803"
"1001320543","45140","480","3797"
"1001320565","35892","450","3816"
"1001320573","54250","3600","3820"
"1001320578","05574","2100","3400"
"1001320576","56926","3300","3796"
"1001320581","G1350","290","2450"
"1001320581","35899","2450","3903"
"1006154253","39868","2900","3860"
"1006150226","F6135","2800","3900"
"1001320206","B2291","3200","3500"
"1001320206","B1657","3500","3742"
"1006152458","C0519","3390","3818"
"1001320201","07540","3675","3765"
"1001320204","00679","2800","3725"
"1001320209","61453","3760","3791"
"1001320198","49702","3510","3746"
"1001320208","F3248","3650","3761"
"1001320210","C1063","3200","3736"
"1001320221","54902","2800","3760"
"1001320222","67031","2800","3752"
"1001320252","43189","3675","3855"
"1001320226","02469","3000","3770"
"1001320227","34905","1700","3740"
"1001320235","58489","300","1890"
"1001320235","A8837","2300","3200"
"1001320234","02518","103","3300"
"1001320231","55170","3000","3760"
"1001320216","44701","3250","3735"
"1001320218","04968","3300","3765"
"1001320215","07034","3600","3770"
"1001320223","05049","3200","3730"
"1006152470","C0556","3330","3807"
"1001320251","27543","3650","3714"
"1001320242","43834","3700","3735"
"1001320239","G1424","3650","3770"
"1044096974","E4223","3000","3896"
"1001276115","03783","3200","3708"
"1001276112","00963","3200","3500"
"1001276112","49493","3500","3743"
"1001276106","49345","2100","3500"
"1001276104","49374","3000","3700"
"1001276108","49374","3300","3748"
"1001276103","A9607","1700","3300"
"1001276118","49394","3500","3707"
"1001276123","31438","3000","3747"
