KID,API,LEASE_NAME,WELL_NAME,ORIG_OPERATOR,CURR_OPERATOR,FIELD_NAME,TOWNSHIP,TOWNSHIP_DIR,RANGE,RANGE_DIR,SECTION,SPOT,SUBDIVISION_4_SMALLEST,SUBDIVISION_3,SUBDIVISION_2,SUBDIVISION_1_LARGEST,FEET_NORTH,FEET_EAST,REFERENCE_CORNER,NAD27_LONGITUDE,NAD27_LATITUDE,COUNTY,PERMIT_DATE,SPUD_DATE,COMPLETION_DATE,PLUG_DATE,WELL_TYPE,STATUS,TOTAL_DEPTH,ELEVATION,ELEVATION_REFERENCE,PRODUCING_FORMATION
"1002890114","15-015-20778","SCHWARTZ","1","WHITE & ELLIS DRILLING, INC.","White & Ellis Drilling, Inc.","El Dorado","25","S","5","E","19"," "," ","N2","NE","NE","-330","-660","NE","-96.9159842","37.8675022","Butler","","12/12/1975","01/21/1976","","OIL","Producing","2550","1377","KB"," "
"1021715143"," ","BOYER STOR","0-4","Empire Gas & Fuel","","El Dorado","26","S","5","E","17"," "," "," "," "," ","","","","-96.9074785","37.7881508","Butler","","","06/02/1915","","GAS"," ","887","",""," "
"1002889978","15-015-20638","WILSON","404","CITIES SERVICE CO","OXY USA Inc.","El Dorado","25","S","5","E","9"," "," ","NW","SW","NW","3725","-4785","SE","-96.893492","37.8930062","Butler","","10/26/1974","10/01/1960","05/03/1994","OIL-P&A","Plugged and Abandoned","2557","1378","KB"," "
"1002889589","15-015-20242","MABRY","11","W R GROSS","Tomlinson Oil Co., Inc.","El Dorado","26","S","4","E","13"," "," ","NW","NW","NE","","","","-96.9422999","37.7946205","Butler","02/18/1969","02/18/1969","03/27/1969","04/26/1971","OIL-P&A","Plugged and Abandoned","2465","1367","KB"," "
"1002889997","15-015-20658","CHESNEY-HEGBERG MP UNIT","121-W"," ","OXY USA Inc.","El Dorado","25","S","5","E","21"," "," ","NW","SW","SE","792","-2112","SE","-96.8841923","37.8558249","Butler","","","04/22/1975","07/20/1992","EOR-P&A","Plugged and Abandoned","672","1394","KB"," "
"1037038351","15-015-23744","J. F. ROBINSON","25","Hartman Oil Co., Inc.","Hartman Oil Co., Inc.","El Dorado","25","S","5","E","16"," ","S2","S2","NE","SW","1357","-3308","SE","-96.8881197","37.8718097","Butler","07/27/2007","","","","SWD","Authorized Injection Well","2800","1380","GL","Viola"
"1002892785","15-015-22894","PORTER 'D'","6-A","HAWKINS O&G","Hawkins Oil, LLC","El Dorado","26","S","4","E","1"," "," ","SW","NW","NW","4290","-4950","SE","-96.9516765","37.8219434","Butler","","06/25/1986","06/29/1986","12/04/2019","OIL-P&A","Plugged and Abandoned","2500","1385","KB"," "
"1002889087","15-015-01169","FRAZIER","6","STRAIGHT P","","El Dorado","25","S","4","E","25"," "," "," ","NE","NW","","","","-96.9434009","37.851949","Butler","","07/26/1934","08/10/1934","","D&A"," ","752","",""," "
"1002889710","15-015-20370","ROBISON","6-B","WRIGHT OIL CO","Hawkins Oil, LLC","El Dorado","25","S","5","E","17"," "," ","N2","SE","SE","1075","-760","SE","-96.898031","37.8711301","Butler","","09/26/1970","11/20/1970","","OIL","Converted to EOR Well","2515","1358","KB"," "
"1036441994","15-015-19640","CHESNEY 'A'","120"," ","Vess Oil Corporation","El Dorado","25","S","5","E","21"," "," ","SW","NE","SE","1558","-890","SE","-96.8799756","37.8579215","Butler","","","","","OIL","Producing","2312","",""," "
"1002892618","15-015-22728","LINN","4","SACO OIL CO.","Saco Oil Company","El Dorado","26","S","5","E","5"," ","E2","NW","NW","NW","4950","-4730","SE","-96.9148201","37.8237283","Butler","","06/10/1985","06/15/1985","","OIL","Converted to SWD Well","2505","1380","KB"," "
"1002888391","15-015-00426","DELL WAIT","1","R P BAKER","","El Dorado","26","S","4","E","3"," "," ","NE","NW","SW","","","","-96.9859451","37.8167256","Butler","","11/06/1959","12/16/1959","04/30/1969","OIL-P&A","Plugged and Abandoned","2411","1326","KB"," "
"1002890126","15-015-20791","ELDORADO REFINERY","1","AMERICAN PETRO FINA OF TEXAS","Bruce Oil Company, L.L.C.","El Dorado","25","S","5","E","34"," "," ","NW","SE","NW","3630","-3630","SE","-96.8711924","37.8347121","Butler","","03/13/1976","03/29/1976","","OIL","Producing","2750","1347","KB"," "
"1036442047","15-015-19623","WILSON 'A'","284","Cities Service Oil Co.","Vess Oil Corporation","El Dorado","25","S","5","E","8"," "," ","SE","NW","SE","1650","-1650","SE","-96.9011491","37.8872939","Butler","","","","","OIL","Producing","2046","",""," "
"1002889305","15-015-01396","DICKMAN","6","C.W. DARLING","","El Dorado","25","S","4","E","36"," "," ","NE","SE","SE","990","-330","SE","-96.9331156","37.8274164","Butler","","01/21/1952","02/27/1952","05/20/1963","OIL-P&A"," ","2487","1413","GL"," "
"1031430971","15-015-19506-0001","WILSON 'A'","361","Vess Oil Corp.","Vess Oil Corporation","El Dorado","25","S","5","E","8"," ","SE","SE","SE","NW","2768","-2897","SE","-96.9054597","37.8903522","Butler","06/29/2004","09/04/2004","09/24/2004","03/20/2017","OIL-P&A","Plugged and Abandoned","985","1388","KB","White Cloud"
"1034571052","15-015-23487-0001","ENYART","114-A","Vess Oil Corp.","Vess Oil Corporation","El Dorado","26","S","4","E","12"," ","E2","E2","NW","NW","-405","1090","NW","-96.9489459","37.8090435","Butler","","02/21/2006","02/27/2006","","OIL","Producing","2366","1403","KB","Kansas City"
