KID,LOCATION,ORIGINAL-OPERATOR,CURRENT-OPERATOR,LEASE,API,ELEVATION,LOGGER,TOOL,TOP,BOTTOM,TEMP,SCANNED,LOG_DATE
"1001327957","T31S R1W, Sec. 32,   SE SW SE NE","STELBAR OIL CORP","BEREXCO LLC","WELLINGTON UNIT, was J. C. FRANKUM 5 53","15-191-10078","1255 DF","Strip/Sample Logs","Sample Log","3300","3693","","Scanned","02/49/1937"
"1001327958","T31S R1W, Sec. 32,     NW NE NE","STELBAR OIL CORP","BEREXCO LLC","WELLINGTON UNIT, was J. C. FRANKUM 6 35","15-191-10077","1269 DF","Strip/Sample Logs","Sample Log","0","3711","","Scanned","08/242/1937"
"1001327959","T31S R1W, Sec. 32,   NE SW NE NE","STELBAR OIL CORP.","Bramble Oil Company","J. C. FRANKUM 7","15-191-10083","1259 DF","Strip/Sample Logs","Sample Log","0","3696","","Scanned","09/272/1937"
"1001327961","T31S R1W, Sec. 32,     SE SE SW","VICKERS PETROLEUM CO","Jordan Oil Management Inc.","MARKLEY 'B' 1","15-191-10075","1239 DF","Strip/Sample Logs","Sample Log","0","3701","","Scanned","02/42/1937"
"1001327961","T31S R1W, Sec. 32,     SE SE SW","VICKERS PETROLEUM CO","Jordan Oil Management Inc.","MARKLEY 'B' 1","15-191-10075","1239 DF","Strip/Sample Logs","Sample Log","3325","3701","","Scanned","02/42/1937"
"1001327966","T31S R1W, Sec. 32,     E2 E2 SE","SLICK PRYOR AND LOCKHART","","MURPHY 2","15-191-10090","1258 DF","Strip/Sample Logs","Sample Log","3391","3681","","Scanned","06/182/1936"
"1001327967","T31S R1W, Sec. 32,   NE NE NE SE","SLICK PRYOR AND LOCKHART","BEREXCO LLC","WELLINGTON UNIT, was MURPHY 1 62","15-191-10076","1264 DF","Strip/Sample Logs","Sample Log","3353","3686","","Scanned","05/132/1936"
"1001327969","T31S R1W, Sec. 32, C   SE SW SE","TRANSWESTERN OIL CO","","MURPHY 7","15-191-43878","1241 DF","Strip/Sample Logs","Sample Log","135","3708","","Scanned","03/69/1937"
"1001327974","T31S R1W, Sec. 32,   SE NW NE SE","TRANSWESTERN OIL CO","BEREXCO LLC","WELLINGTON UNIT, was MURPHY 8 61","15-191-10087","1258 DF","Strip/Sample Logs","Sample Log","20","3697","","Scanned","04/97/1937"
"1001327975","T31S R1W, Sec. 32,     SW SW SE","TRANSWESTERN OIL CO","","MURPHY 6","15-191-43884","1232 DF","Strip/Sample Logs","Sample Log","0","3693","","Scanned","02/56/1937"
"1001327976","T31S R1W, Sec. 32,     W2 E2 SE","TRANSWESTERN OIL CO","","MURPHY 5","15-191-10086","1251 DF","Strip/Sample Logs","Sample Log","0","3714","","Scanned","01/27/1937"
"1001327978","T31S R1W, Sec. 33,     SW NW NE","SHAWVER E B","","PEASEL 1","15-191-10102","1274 DF","Strip/Sample Logs","Sample Log","0","3705","","Scanned","11/320/1935"
"1001327978","T31S R1W, Sec. 33,     SW NW NE","SHAWVER E B","","PEASEL 1","15-191-10102","1274 DF","Strip/Sample Logs","Sample Log","0","3705","","Scanned","11/320/1935"
"1001327979","T31S R1W, Sec. 33,   NW NW NW NE","SHAWVER E B","BEREXCO LLC","WELLINGTON UNIT, was PEASEL 2 38","15-191-10104","1271 DF","Strip/Sample Logs","Sample Log","3400","3695","","Scanned","01/09/1936"
"1001327982","T31S R1W, Sec. 33,   W2 NW NE SW","STELBAR OIL CORP INC","","ERKER 8","15-191-43892","1235 DF","Strip/Sample Logs","Sample Log","3188","3680","","Scanned","12/351/1936"
"1001327983","T31S R1W, Sec. 33,   NE NE NE SW","STELBAR OIL CORP INC","BEREXCO LLC","WELLINGTON UNIT, was ERKER 9 66","15-191-10100","1241 DF","Strip/Sample Logs","Sample Log","3632","3677","","Scanned","11/324/1936"
"1001327984","T31S R1W, Sec. 33,     SW SW SE","STELBAR OIL CORP","","F. BARLOW 'B' 6","15-191-10120","1256 DF","Strip/Sample Logs","Sample Log","225","3700","","Scanned","05/141/1937"
"1001327986","T31S R1W, Sec. 33,     E2 W2 SE","STELBAR OIL CORP","Bramble Oil Company","WELLINGTON UNIT, was F. BARLOW 'B' 4 77","15-191-10124","1261 KB","Strip/Sample Logs","Sample Log","3415","3699","","Scanned","03/60/1937"
"1001327986","T31S R1W, Sec. 33,     E2 W2 SE","STELBAR OIL CORP","Bramble Oil Company","WELLINGTON UNIT, was F. BARLOW 'B' 4 77","15-191-10124","1261 KB","Strip/Sample Logs","Sample Log","0","3699","","Scanned","03/60/1937"
"1001327987","T31S R1W, Sec. 33,   NW NW NW SE","STELBAR OIL CORP","BEREXCO LLC","WELLINGTON UNIT, was BARLOW 'B' 2 67","15-191-10119","1254 DF","Strip/Sample Logs","Sample Log","3022","3701","","Scanned","10/296/1936"
